week,date,section,code,stage,count
1,Sep 12,L01,L01-1-10,Adults,5
1,Sep 12,L01,L01-1-10,Pupae,0
1,Sep 12,L01,L01-1-10,Larvae,0
2,Sep. 19,L01,L01-1-10,Adults,4
2,Sep. 19,L01,L01-1-10,Pupae,0
2,Sep. 19,L01,L01-1-10,Larvae,0
3,Sep. 26,L01,L01-1-10,Adults,4
3,Sep. 26,L01,L01-1-10,Pupae,0
3,Sep. 26,L01,L01-1-10,Larvae,0
4,Oct. 3,L01,L01-1-10,Adults,2
4,Oct. 3,L01,L01-1-10,Pupae,0
4,Oct. 3,L01,L01-1-10,Larvae,0
5,Oct. 10,L01,L01-1-10,Adults,1
5,Oct. 10,L01,L01-1-10,Pupae,0
5,Oct. 10,L01,L01-1-10,Larvae,0
6,Oct 17,L01,L01-1-10,Adults,1
6,Oct 17,L01,L01-1-10,Pupae,0
6,Oct 17,L01,L01-1-10,Larvae,0
7,Oct. 24,L01,L01-1-10,Adults,1
7,Oct. 24,L01,L01-1-10,Pupae,0
7,Oct. 24,L01,L01-1-10,Larvae,0
8,Oct 31,L01,L01-1-10,Adults,1
8,Oct 31,L01,L01-1-10,Pupae,0
8,Oct 31,L01,L01-1-10,Larvae,0
9,Nov 7,L01,L01-1-10,Adults,1
9,Nov 7,L01,L01-1-10,Pupae,0
9,Nov 7,L01,L01-1-10,Larvae,0
10,Nov 14,L01,L01-1-10,Adults,0
10,Nov 14,L01,L01-1-10,Pupae,0
10,Nov 14,L01,L01-1-10,Larvae,0
11,Nov 21,L01,L01-1-10,Adults,0
11,Nov 21,L01,L01-1-10,Pupae,0
11,Nov 21,L01,L01-1-10,Larvae,0
12,Nov. 28,L01,L01-1-10,Adults,0
12,Nov. 28,L01,L01-1-10,Pupae,0
12,Nov. 28,L01,L01-1-10,Larvae,0
13,Dec. 5,L01,L01-1-10,Adults,0
13,Dec. 5,L01,L01-1-10,Pupae,0
13,Dec. 5,L01,L01-1-10,Larvae,0
1,Sep 12,L01,L01-2-10,Adults,5
1,Sep 12,L01,L01-2-10,Pupae,0
1,Sep 12,L01,L01-2-10,Larvae,0
2,Sep. 19,L01,L01-2-10,Adults,4
2,Sep. 19,L01,L01-2-10,Pupae,0
2,Sep. 19,L01,L01-2-10,Larvae,0
3,Sep. 26,L01,L01-2-10,Adults,4
3,Sep. 26,L01,L01-2-10,Pupae,0
3,Sep. 26,L01,L01-2-10,Larvae,0
4,Oct. 3,L01,L01-2-10,Adults,4
4,Oct. 3,L01,L01-2-10,Pupae,0
